"";"aluno";"ano.defesa";"programa";"titul";"titul.2";"prazo.dep";"tempo.dep";"tempo.def";"avaliador";"estrato";"estrato.n";"impacto";"impacto.n";"nota.tese";"redacao";"contextualiz";"objetivos";"hip.claras";"originalidade";"metodos";"analises";"resultados";"discussao";"literatura"
"137";2;2011;"Bot";"Mestrado";"Mestrado";36;36.5;38.3666666666667;"Externo";"50%";5;"medio";3;6;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE
"55";149;2011;"Bot";"Mestrado";"Mestrado";36;35.9;37.4333333333333;"Externo";"25%";3;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"51";184;2011;"Bot";"Mestrado";"Mestrado";36;36.5333333333333;39.4333333333333;"Externo";NA;NA;"nao public";1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"52";184;2011;"Bot";"Mestrado";"Mestrado";36;36.5333333333333;39.4333333333333;"Externo";"25%";3;"medio";3;3;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"166";197;2011;"Bot";"Mestrado";"Mestrado";36;40.7666666666667;42.9333333333333;"Externo";"25%";3;"medio";3;4;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
"57";222;2011;"Bot";"Mestrado";"Mestrado";36;36.2666666666667;37.3666666666667;"Externo";"25%";3;"medio";3;9;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"53";224;2011;"Bot";"Mestrado";"Mestrado";36;35.9;37.6333333333333;"Externo";"50%";5;"baixo";2;8;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
"54";224;2011;"Bot";"Mestrado";"Mestrado";36;35.9;37.6333333333333;"Externo";"25%";3;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"135";227;2011;"Bot";"Mestrado";"Mestrado";36;36.4333333333333;38.8333333333333;"Externo";"50%";5;"medio";3;5;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE
"136";227;2011;"Bot";"Mestrado";"Mestrado";36;36.4333333333333;38.8333333333333;"Externo";"<50%";4;"nao public";1;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"154";265;2011;"Bot";"Mestrado";"Mestrado";36;30.8666666666667;32.2;"Externo";"50%";5;"medio";3;5;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
"47";290;2011;"Bot";"Mestrado";"Mestrado";36;36.4666666666667;38.3666666666667;"Externo";"50%";5;"baixo";2;2;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
